,latin_maxim,translation,description
213,bona vacantia,vacant goods,United Kingdom legal term for ownerless property that passes to The Crown.
214,boni pastoris est tondere pecus non deglubere,"It is of a good shepherd to shear his flock, ","Tiberius reportedly said this to his regional commanders, as a warning against taxing the populace excessively."
215,bonum commune communitatis,common good of the community,"Or ""general welfare"". Refers to what benefits a society, as opposed to bonum commune hominis, which refers to what is good for an individual."
216,bonum commune hominis,common good of a man,"Refers to an individual's happiness, which is not ""common"" in that it serves everyone, but in that individuals tend to be able to find happiness in similar things."
217,cacoethes scribendi,bad habit of writing,From Satires of Juvenal. An insatiable urge to write. Hypergraphia
218,Caedite eos. Novit enim Dominus qui sunt eius.,Kill them. For the Lord knows those who are h,"Supposed statement by Abbot Arnaud Amalric before the massacre of B?ziers during the Albigensian Crusade, recorded 30 years later, according to Caesar of Heisterbach."
219,cadavera vero innumera,truly countless bodies,Used by the Romans to describe the aftermath of the Battle of the Catalaunian Plains.
220,caetera desunt,the rest is wanting,
221,calix meus inebrians,my cup makes me drunk,
222,camera obscura,dark chamber,"An optical device used in drawing, and an ancestor of modern photography. The source of the word camera."
223,canes pugnaces,"war dogs"" or ""fighting dogs",
224,canis canem edit,dog eats dog,"Refers to a situation where nobody is safe from anybody, each man for himself."
225,capax infiniti,capable of the infinite,a term referring (at least) to some Christian doctrines of the incarnation of the Son of God when it asserts that humanity is capable of housing full divinity within its finite frame. Related to the Docetic heresy and sometimes a counterpoint to the Reformed 'extracalvinisticum.'
226,caput inter nubila (condit),head in the clouds,So aggrandized as to be beyond practical (earthly) reach or understanding (from Virgil's Aeneid and the shorter form appears in John Locke's Two Treatises of Government)
227,Caritas Christi,The love of Christ,It implies a command to love as Christ loved. Motto of St. Franicis Xavier High School located in West Meadowlark Park (Edmonton).
228,carpe diem,seize the day,"An exhortation to live for today. From Horace, Odes I, 11.8. By far the most common translation is ""seize the day"", though carpere normally means something more like ""pluck"", and the allusion here is to picking flowers. The phrase collige virgo rosas has a similar sense."
229,carpe noctem,seize the night,"An exhortation to make good use of the night, often used when carpe diem, q.v., would seem absurd, e.g., when observing a deep sky object or conducting a Messier marathon."
230,Carthago delenda est,Carthage must be destroyed,"From Roman senator Cato the Elder, who ended every speech of his between the second and third Punic Wars with ceterum censeo Carthaginem esse delendam, literally ""For the rest, I am of the opinion that Carthage is to be destroyed."" Other translations include ""In conclusion, I declare that Carthage must be destroyed."" and ""Furthermore, I move for Carthage to be destroyed."""
231,casus belli,event of war,Refers to an incident that is the justification or case for war.
232,causa mortis,cause of death,
233,cave,beware!,"especially used by doctors of medicine, when they want to warn each other (e.g.: ""cave nephrolithiases"" in order to warn about side effects of an uricosuric). Spoken aloud in some British public schools by pupils to warn each other of impending authority."
234,cave canem,beware of the dog,"Found written on floor mosaics depicting a dog, at the entrance of Roman houses excavated at Pompeii."
235,cave laborem,beware of work,
236,cave nil vino,beware of running out of wine,
237,caveat emptor,let the buyer beware,The purchaser is responsible for checking whether the goods suit his need.
238,caveat lector,let the reader beware,Used when the writer does not vouch for the accuracy of a text. Probably a recent alteration of caveat emptor.
239,caveat subscriptor,let the signer beware,The person signing a document is responsible for reading the information about the what the document entails before entering into an agreement.
240,caveat venditor,let the seller beware,The person selling goods is responsible for providing information about the goods to the purchaser.
241,caveat utilitor,let the user beware,The user is responsible for checking whether the goods suit his need.
242,Cedant arma togae,let arms yield to the gown,"""Let military power yield to civilian power"", Cicero, De Officiis. See Toga, it:Cedant arma togae"
243,celerius quam asparagi cocuntur,more swiftly than asparagus is cooked,"Or simply ""faster than cooking asparagus"". A variant of the Roman phrase velocius quam asparagi coquantur, using a different adverb and an alternate mood and spelling of coquere."
244,cepi corpus,I got the body,"In law, it is a return made by the sheriff, upon a capias, or other process to the like purpose; signifying, that he has taken the body of the party."
245,certum est quod certum reddi potest,It is certain if it is capable of being rende,"Often used in law when something is not known, but can be ascertained (e.g. the purchase price on a sale which is to be determined by a third-party valuer)"
246,cessante ratione legis cessat ipsa lex,"When the reason for the law ceases, the law i",A rule of law becomes ineffective when the reason for its application has ceased to exist or does not correspond to the reality anymore.
247,cetera desunt,the rest are missing,"Also spelled ""caetera desunt""."
248,ceteris paribus,with other things equal,"Idiomatically translated as ""all other things being equal"". A phrase which rules out outside changes interfering with a situation."
249,charta pardonationis se defendendo,a paper of pardon to him who defended himself,The form of a pardon for killing another man in self-defence. (see manslaughter)
250,charta pardonationis utlagariae,a paper of pardon to the outlaw,The form of a pardon of a man who is outlawed. Also called perdonatio utlagariae.
251,Christianos ad leones,[Throw the] Christians to the lions!,
252,Christo et Doctrinae,For Christ and Learning,The motto of Furman University.
253,Christus nos liberavit,Christ has freed us,"title of volume I, book 5, chapter XI of Les Mis?rables by Victor Hugo."
254,Christus Rex,Christ the King,A Christian title for Jesus.
255,circa (c.) or (ca.),around,"In the sense of ""approximately"" or ""about"". Usually used of a date."
256,circulus in probando,Circle made in testing (a premise),Circular reasoning. Similar term to circulus vitiosus.
257,circulus vitiosus,vicious circle,"In logic, begging the question, a fallacy involving the presupposition of a proposition in one of the premises (see petitio principii). In science, a positive feedback loop. In economics, a counterpart to the virtuous circle."
258,citius altius fortius,"faster, higher, stronger",Motto of the modern Olympics.
259,Clamea admittenda in itinere per atturnatum,,"A writ whereby the king of England could command the justice in eyre to admit one's claim by an attorney, who being employed in the king's service, cannot come in person."
260,clausum fregit,,"An action of tresspass; thus called, by reason the writ demands the person summoned to answer to wherefore he broke the close (quare clausum fregit), i.e. why he committed such a trespass."
261,claves Sancti Petri,the keys of Saint Peter,A symbol of the Papacy.
262,clavis aurea,Golden key,"The means of discovering hidden or mysterious meanings in texts, particularly applied in theology and alchemy."
263,clerico admittendo,about to be made a clerk,"In law, a writ directed to the bishop, for the admitting a clerk to a benefice upon a ne admittas, tried, and found for the party who procures the writ."
